,gene_numb,rxn_numb,aerobic growth,aerobic_rxns,anaerobic_growth,anaerobic_rxns
AAA.xml,1112,3981,0.0,58,0.0,0
AAB.xml,1108,3980,0.08793978706945563,492,0.022773751767668795,486
AAC.xml,1100,3978,0.08793987479512894,494,0.02277375176766874,488
AAD.xml,1107,3985,0.08793984293640887,468,0.022773751767668618,448
AAE.xml,1109,3984,0.08793987479512894,510,0.02277375176766867,495
AAG.xml,1115,3982,0.0,30,0.0,0
AAH.xml,1103,3980,0.012539605680476743,499,0.022773751767668673,466
AAI.xml,1116,3986,0.08793987479512864,471,0.0227737517676688,481
AAK.xml,1107,3982,0.08793987479512894,469,0.022773751767668698,474
AAL.xml,1112,3981,0.08793978706945577,505,0.022773751767668732,474
AAM.xml,1106,3978,0.08793987479512881,477,0.022773751767668677,488
AAN.xml,1099,3973,0.012539602898508648,526,0.02277375176766868,463
AAP.xml,1111,3978,0.08793978706945596,516,0.0227737517676687,456
AAQ.xml,1110,3983,0.08793978706945596,483,0.02277375176766888,486
AAR.xml,1111,3992,0.08793987479512798,468,0.022773751767668646,460
AAS.xml,1115,3983,0.0879398747951286,494,0.022773751767668726,474
AAT.xml,1117,3995,0.0879398426798096,500,0.022773751767668673,474
AAV.xml,1115,3983,0.08793978706945564,515,0.022773751767668646,470
ABA.xml,1113,3984,0.08793987479512867,498,0.022773751767667556,463
ABB.xml,1110,3983,0.08793987479512799,511,0.022773751767668673,454
ABC.xml,1111,3980,0.0879398429364095,484,0.022773751767668705,463
ABD.xml,1118,3993,0.0879398747951272,488,0.022773751767668673,488
ABE.xml,1106,3983,0.0879398747951286,494,0.022773751767668726,474
ABF.xml,1110,3979,0.08793978706945561,507,0.0227737517676687,488
ABG.xml,1113,3991,0.0879398747951281,499,0.022773751767668667,449
ABH.xml,1112,3982,0.012569441379562861,494,0.022773751767668705,477
ABI.xml,1108,3981,0.08793978706945577,505,0.022773751767668732,474
ABK.xml,1112,3983,0.0879398747951286,494,0.022773751767668726,474
ABL.xml,1104,3980,0.01253960289850865,503,0.022773751767668774,468
ABM.xml,1095,3972,0.0,22,0.0,0
ABP.xml,1112,3983,0.08793978706945596,483,0.02277375176766888,486
ABQ.xml,1107,3981,0.012539602898508667,491,0.022773751767668705,469
ABR.xml,1112,3983,0.01253960289850865,528,0.022773751767668673,489
ABS.xml,1113,3984,0.08793987479512867,498,0.022773751767667556,463
ABT.xml,1114,3984,0.08793987479512864,479,0.02277375176766876,457
ABV.xml,1115,3979,0.08793987479512863,463,0.022773751767668767,476
ACA.xml,1116,3984,0.08793978706945575,479,0.022773751767668847,459
ACB.xml,1115,3984,0.08793978706945575,479,0.022773751767668847,459
ACC.xml,1119,4005,0.08793978706945543,483,0.022773751767805966,589
ACD.xml,1114,3983,0.08793987479512799,511,0.022773751767668673,454
ACF.xml,1114,3984,0.08793987479512867,498,0.022773751767667556,463
ACG.xml,1115,3983,0.0879398747951286,494,0.022773751767668726,474
ACH.xml,1115,3983,0.0879398747951286,494,0.022773751767668726,474
ACI.xml,1112,3982,0.08793987479512894,488,0.022773751767668778,480
ACK.xml,1110,3983,0.08793987479512799,511,0.022773751767668673,454
ACL.xml,1114,3973,0.08793987479512827,490,0.0227737517676687,445
ACM.xml,1109,3983,0.08793987479512799,511,0.022773751767668673,454
ACN.xml,1118,3984,0.08793987479512867,498,0.022773751767667556,463
ACP.xml,1115,3984,0.08793987479512831,464,0.022773751767668705,477
ACQ.xml,1110,3991,0.08793984293640983,478,0.02277375176766869,484
ACR.xml,1118,3984,0.08793987479512867,498,0.022773751767667556,463
ACS.xml,1115,3983,0.08793987479512799,511,0.022773751767668673,454
ACT.xml,1111,3980,0.0879398429364095,484,0.022773751767668705,463
ACV.xml,1111,3980,0.0879398429364095,484,0.022773751767668705,463
ADA.xml,1109,3982,0.08793978706945564,492,0.02277375176766867,474
ADB.xml,1111,3984,0.08793984865730994,502,0.02277375176766865,468
ADC.xml,1112,3985,0.08793978706945622,507,0.02277375176766874,452
ADD.xml,1111,3980,0.0879398429364095,484,0.022773751767668705,463
ADE.xml,1110,3985,0.08793978706945564,507,0.022773751767668677,459
ADF.xml,1111,3982,0.08793978706945622,496,0.022773751767668732,487
ADG.xml,1114,3992,0.0879398747951286,459,0.022773751767668812,465
ADH.xml,1110,3983,0.08793987479512799,511,0.022773751767668673,454
ADI.xml,1114,3983,0.0879398747951286,494,0.022773751767668726,474
ADK.xml,1120,3984,0.08793978706945596,506,0.022773751767668694,466
ADL.xml,1109,3980,0.0879398747951283,475,0.022773751767668746,487
ADM.xml,1107,3979,0.08793978706945606,504,0.02277375176766868,458
ADN.xml,1108,3990,0.08793987479512795,497,0.022773751767668708,478
ADP.xml,1104,3980,0.012539602898508603,507,0.022773751767668646,453
ADQ.xml,1107,3990,0.08793987479512795,497,0.022773751767668708,478
ADR.xml,1114,3984,0.08793987479512867,498,0.022773751767667556,463
ADS.xml,1117,3984,0.08793987479512867,498,0.022773751767667556,463
ADT.xml,1120,3986,0.08793987479512823,507,0.02277375176766865,460
ADV.xml,1110,3981,0.08793987479512907,476,0.0227737517676687,493
AEA.xml,1110,3992,0.08793987479512798,468,0.022773751767668646,460
AEB.xml,1106,3982,0.0879398747951286,495,0.02277375176766869,483
AEC.xml,1102,3980,0.08793987479512852,494,0.022773751767668667,467
AEE.xml,1105,3984,0.012539602898508731,512,0.02277375176766875,466
AEF.xml,1106,3985,0.08793987479512864,486,0.022773751767668667,491
AEG.xml,1112,3994,0.08793987479512894,482,0.022773751767668705,449
AEH.xml,1114,3985,0.08793987479512894,492,0.022773751767668705,478
AEI.xml,1114,3992,0.08793978706945597,521,0.022773751767668705,472
AEK.xml,1098,3977,0.012539602898508658,502,0.022773751767668694,488
AEL.xml,1100,3979,0.08793984293640886,504,0.02277375176766877,465
AEM.xml,1103,3979,0.012539602898508742,500,0.022773751767668736,501
AEN.xml,1108,3982,0.08793978706945477,502,0.02277375176766871,473
AEP.xml,1111,3994,0.012569447548695717,520,0.022773751767668722,463
AEQ.xml,1111,3992,0.08793987479512798,468,0.022773751767668646,460
AER.xml,1110,3980,0.08793987479512852,494,0.022773751767668667,467
AES.xml,1105,3982,0.08793987479512894,469,0.022773751767668698,474
AET.xml,1107,3983,0.0879398747951286,494,0.022773751767668726,474
