Row	s_4207	Growth
YDR236C	1.000000433	1
YDR256C	0.999999963	1
YDR261C	1	1
YDR268W	0.999998488	1
YDR272W	0.999998922	1
YDR284C	0.999998922	1
YDR287W	0.999997292	1
YDR294C	0.999998488	1
YDR297W	0.999999859	1
YDR298C	0.999934327	1
YDR300C	0.998319791	1
YDR302W	0.999998451	1
YDR305C	0.999999963	1
YDR315C	0.999999859	1
YDR321W	0.999999975	1
YDR322C-A	0.999877246	1
YDR341C	0	0
YDR342C	1	1
YDR343C	1	1
YDR345C	1	1
YDR353W	0	0
YDR354W	0	0
YDR367W	0.999999821	1
YDR368W	0.999999859	1
YDR373W	0.999998451	1
YDR376W	0.999999963	1
YDR377W	0.999934327	1
YDR380W	0.999999963	1
YDR384C	1	1
YDR399W	0.999998451	1
YDR400W	0.999999963	1
YDR402C	0.999998451	1
YDR403W	0.999999963	1
YDR408C	0	0
YDR428C	0.999999821	1
YDR453C	0.999998451	1
YDR454C	0	0
YDR481C	0.999998451	1
YDR483W	1	1
YDR487C	0	0
YDR497C	1	1
YDR502C	1.000000433	1
YDR503C	0.999991144	1
YDR508C	1	1
YDR513W	0.999998347	1
YDR529C	0.479999201	1
YDR530C	0.999999963	1
YDR531W	0.999999859	1
YDR536W	1	1
YEL006W	1	1
YEL017C-A	1	1
YEL021W	0	0
YEL024W	0.479999201	1
YEL027W	0.999999963	1
YEL029C	0.999999859	1
YEL038W	0.999998451	1
YEL039C	0.999998451	1
YEL041W	0.99999831	1
YEL042W	0.999998488	1
YEL046C	0.999999963	1
YEL047C	1.004291607	1
YEL051W	0.999999963	1
YEL058W	1.004219444	1
YEL063C	1	1
YEL069C	1	1
YEL071W	0.999998451	1
YER003C	0	0
YER005W	0.999999859	1
YER014W	0	0
YER015W	0.999999963	1
YER019W	0.999998347	1
YER023W	0	0
YER024W	1.00000047	1
YER026C	0	0
YER037W	0.999998451	1
YER043C	0	0
YER052C	0	0
YER053C	1	1
YER055C	0	0
YER056C	1	1
YER060W	1	1
YER060W-A	1	1
YER061C	0.999998922	1
YER062C	0.999999821	1
YER065C	0.999999827	1
YER069W	0	0
YER070W	0.999998451	1
YER073W	1.000000433	1
YER081W	0.99999831	1
YER086W	0.999848943	1
YER090W	0	0
YER091C	0	0
YER099C	0.999973923	1
YER119C	0.999998959	1
YER152C	1.004293812	1
YER170W	1.000000929	1
YER174C	0.999998451	1
YER175C	0.999998488	1
YER178W	1.000965857	1
YER183C	0.999998347	1
YFL001W	0.99999831	1
YFL011W	1	1
YFL017C	1.004216901	1
YFL018C	1.000973118	1
YFL022C	0	0
YFL030W	0.999998451	1
YFL045C	0	0
YFL053W	0.999998451	1
YFL055W	1	1
YFR015C	1.000000433	1
YFR019W	0.999999963	1
YFR025C	0	0
YFR030W	0	0
YFR033C	0.479999201	1
YFR047C	0.999998347	1
YFR053C	0.999998922	1
YGL001C	0	0
YGL008C	0.999999821	1
YGL009C	0	0
YGL012W	0	0
YGL026C	0	0
YGL037C	0.999999963	1
YGL040C	0	0
YGL055W	0	0
YGL062W	0.99997523	1
YGL063W	1.000000465	1
YGL067W	1.000000433	1
YGL077C	0.999998451	1
YGL080W	0.999998451	1
YGL084C	1	1
YGL119W	1.000000433	1
YGL125W	0.999999063	1
YGL142C	0.999999963	1
YGL148W	0	0
YGL154C	0	0
YGL184C	0.999998451	1
YGL186C	0.999998347	1
YGL187C	0.472400617	1
YGL191W	0.472400617	1
YGL202W	0.613027522	1
YGL205W	0.999999963	1
YGL224C	0.999999859	1
YGL225W	1	1
YGL234W	0	0
YGL245W	0	0
YGL248W	0.999998451	1
YGL253W	0.999998451	1
YGL256W	1.000000433	1
YGR007W	0.999998347	1
YGR010W	1.000000391	1
YGR019W	0.999998347	1
YGR020C	0.999999963	1
YGR032W	0.999998451	1
YGR055W	1	1
YGR060W	0	0
YGR061C	0	0
YGR065C	0.999998678	1
YGR087C	0.999999375	1
YGR088W	0.999999963	1
YGR094W	0	0
YGR096W	1	1
YGR110W	0.999999821	1
YGR121C	1	1
YGR124W	0.999999963	1
YGR138C	1	1
YGR143W	1	1
YGR155W	0.999875207	1
YGR157W	0.999999821	1
YGR170W	0.999998451	1
YGR171C	0.999998488	1
YGR175C	0	0
YGR177C	0.999999963	1
YGR180C	0.999998451	1
YGR183C	0.479999201	1
YGR185C	0	0
YGR191W	1	1
YGR192C	0.999999963	1
YGR193C	1.000965857	1
YGR194C	0.999998451	1
YGR202C	1.000000433	1
YGR204W	0	0
YGR208W	0.981297192	1
YGR209C	0.999796214	1
YGR240C	0.999999859	1
YGR243W	1	1
YGR244C	0.999999963	1
YGR247W	0.999999821	1
YGR248W	0.99999831	1
YGR254W	1.000018438	1
YGR255C	1.000000433	1
YGR256W	0.999999963	1
YGR260W	0.999999963	1
YGR264C	0	0
YGR267C	0.999998463	1
YGR277C	0.999999859	1
YGR282C	0.999998488	1
YGR286C	0.999998451	1
YGR287C	1	1
YGR289C	0.999998451	1
YGR292W	1	1
YHL003C	0.999998922	1
YHL011C	0.999998451	1
YHL016C	1.000000244	1
YHL032C	1.000000433	1
YHL036W	1	1
YHR001W-A	0.479999201	1
YHR002W	0.999709268	1
YHR007C	0	0
YHR011W	0.999974242	1
YHR018C	0	0
YHR019C	0	0
YHR020W	0	0
YHR025W	0	0
YHR026W	0.999999963	1
YHR037W	0.999998922	1
YHR039C-A	0.999999963	1
YHR042W	0	0
YHR046C	0.999998451	1
YHR051W	0.472400617	1
YHR063C	0.999998805	1
YHR067W	0.999998922	1
YHR068W	0.999998488	1
YHR072W	0	0
YHR074W	0.999999963	1
YHR091C	0.999998488	1
YHR092C	1	1
YHR094C	1	1
YHR096C	1	1
YHR100C	0.999998347	1
YHR104W	1.000000886	1
YHR106W	0.999999963	1
YHR123W	0.999999963	1
