,slow,medium,fast
r_2333,0.4079490518880078,0.3711558112344927,0.0
r_0215,0.4702966474062287,0.4333647996911395,0.0
r_1127,0.47786301627405287,0.44121825597020176,0.6263756768655944
r_0018,0.5999829912797288,0.37438401676869276,0.5443768684088751
r_0453,0.44705998123144897,0.40995146061541976,0.39018830074799943
r_0855,0.5339782931604453,0.36445906605757694,0.6063798940712434
r_0353,0.47726219132363656,0.46518942259105045,0.3742399382947846
r_2496,0.4824146025336099,0.5877583877510539,0.49131623413628334
r_1264,0.41242233333868167,0.0,0.0
r_0514,0.0,0.0,0.3916392784964069
r_2159,0.0,0.4031837707107123,0.0
r_4591,0.0,0.3895634854346621,0.4551798055938027
r_0735,0.7110784886543666,0.6833450762230899,0.6165348942535102
r_0739,0.0,0.0,0.3686645521865403
r_0816,0.506052149494814,0.6514656591878278,0.3744805949173111
r_0727,0.47677985184672533,0.0,0.46334683864566795
r_1038,0.0,0.4905366389983921,0.0
r_0832,0.6688217812949191,0.0,0.5775439768733994
r_0759,0.4707061614158028,0.0,0.0
r_1265,0.5657627018719333,0.0,0.553872703150287
r_3103,0.0,0.4971975949906248,0.41233144915889725
r_1088,0.6271417762987879,0.0,0.0
r_1214,0.3836443580857634,0.5364040631388953,0.4926766107885191
r_0729,0.0,0.0,0.5264181342002736
r_0109,0.4490640866159752,0.0,0.44482359545595296
r_2446,0.0,0.0,0.5452103600974654
r_1041,0.4655837696786503,0.0,0.36975378002969417
r_0893,0.5653723617447655,0.6250643010900115,0.6635104020122272
r_0719,0.614942994754432,0.5265589436995072,0.6792667670047607
r_0678,0.5720257597713229,0.3792930824185171,0.0
r_2468,0.6336476168953602,0.7097183268940203,0.6456773490535239
r_0027,0.6142092104510188,0.4587372529617821,0.663471180609337
r_1277,0.7107641258120806,0.6227831750653774,0.5194035783450415
r_0006,0.37581397711595016,0.0,0.3779382903523123
r_0207,0.5824097328392454,0.4267536805915751,0.0
r_0020,0.4515576870743687,0.5614934259610066,0.3813214506023811
r_0959,0.5289853949789728,0.5832676742607874,0.6038180067718799
r_0713,0.0,0.4135922109367326,0.0
r_1022,0.6655162203142754,0.41071071677869436,0.6004751385790688
r_0916,0.4558957965365639,0.0,0.0
r_0250,0.0,0.4495849075682974,0.0
r_2464,0.5042761477685314,0.617843788088415,0.6485251330251282
r_0115,0.4707061614158028,0.0,0.0
r_0476,0.4365750628401148,0.3838206823793292,0.4416047804440456
r_0912,0.5309927359120328,0.4331950002050404,0.6546598541373634
r_0499,0.0,0.0,0.5255762820615105
r_0961,0.0,0.0,0.48618991202222694
r_1110,0.6350469659672933,0.5577062680743463,0.5466099196273437
r_0988,0.6716659318952796,0.5252110483145023,0.8145888282149201
r_2433,0.5566622816091185,0.0,0.4801603707017484
r_0886,0.6657230570031729,0.5788521479569483,0.45041188258499654
r_0226,0.44999686238304726,0.5319580712498465,0.5657354662668315
r_0546,0.37357189434707727,0.0,0.0
r_1072,0.6867078044952417,0.6773411811465395,0.0
r_0510,0.0,0.0,0.386377610149595
r_1115,0.4791104448095699,0.4636206580693981,0.5967175737724604
r_0762,0.0,0.36965610094291945,0.0
r_0732,0.5696196518172305,0.5311276513847029,0.5339960982275244
r_0016,0.48078477024166305,0.3892861141481807,0.41009879071017574
r_0438,0.48460792750429077,0.49267393901089707,0.49772744717483713
r_0502,0.6095712616227925,0.6824872998738238,0.44723623556431313
r_0701,0.0,0.0,0.4703034480786831
r_0219,0.3948835350303618,0.40328154453243764,0.0
r_0667,0.3778960527468025,0.0,0.4333427481153619
r_2308,0.6222359240129598,0.6684625564337623,0.6949531381960158
r_1168,0.0,0.0,0.3611390854849301
r_1184,0.5080611686801065,0.4399210773875309,0.5183974265973657
r_3225,0.0,0.39670191199603977,0.0
r_0451,0.5984471143591887,0.0,0.46860170132031487
r_0908,0.530427902889556,0.39317325808439807,0.6149938760882764
r_0152,0.0,0.0,0.3689696025388204
r_0211,0.0,0.0,0.5372482222145352
