,slow,medium,fast
r_0511,0.0,0.0,0.38847940305372186
r_0505,0.0,0.40419382212383737,0.44956611565939575
r_0542,0.6147707956179767,0.45954124520409345,0.667943642261639
r_0958,0.4165472024247483,0.0,0.0
r_1219,0.5645450991295957,0.6025574154270829,0.6756960011408053
r_3254,0.0,0.0,0.3820017911919197
r_3258,0.0,0.4215860225011614,0.0
r_1249,0.0,0.0,0.4901926694058728
r_2504,0.4824146025336099,0.5877583877510539,0.49131623413628334
r_2492,0.670724212380692,0.7092405030387403,0.6731727042589228
r_0982,0.42031490879822564,0.4945869142012368,0.0
r_1054,0.6762046697050912,0.5563631286850419,0.4440205917761151
r_1273,0.7040357502081105,0.0,0.0
r_0486,0.4982252457575222,0.6398866188360645,0.6946877461256007
r_0096,0.4102290174226526,0.0,0.0
r_0962,0.0,0.3892977410213637,0.5357384053729454
r_0914,0.5339782931604453,0.36445906605757694,0.6063798940712434
r_2465,0.0,0.0,0.3874159328040111
r_1254,0.7122603631926421,0.6744424683401475,0.6459012354326217
r_1223,0.5787308839764239,0.6146229836899155,0.5627213571643742
r_1201,0.0,0.8101883478493257,0.7808815575500743
r_0467,0.7456715607767964,0.7162674958117955,0.37954501728612783
r_0671,0.0,0.0,0.4094486006688427
r_2165,0.0,0.3676317259833304,0.0
r_2839,0.0,0.48330666423049673,0.0
r_0699,0.5758772581066841,0.3622595374767803,0.46491132535219726
r_2864,0.0,0.4812750810960982,0.0
r_2488,0.48241460253362356,0.5877583877510539,0.49131623413628334
r_0278,0.49342153323501425,0.0,0.0
r_0918,0.6231963903445075,0.4422691739185206,0.0
r_0307,0.6008562798555358,0.5046952723308126,0.548610738029895
r_1057,0.4343222663576594,0.0,0.3813582638518728
r_0548,0.4176426394951922,0.0,0.0
r_2034,0.4034472876877949,0.5903937881475201,0.0
r_0170,0.0,0.0,0.40291821348224643
r_0157,0.0,0.45958807886458825,0.5412077745549373
r_0658,0.6136967114105539,0.0,0.5246156609309515
r_4590,0.0,0.0,0.4891472844374305
r_0309,0.3845334278088558,0.49453244158702364,0.38702441431909534
r_1244,0.5086414941574725,0.0,0.0
r_1099,0.0,0.0,0.36686092494908146
r_0726,0.5988130873827398,0.0,0.0
r_0939,0.5047595641887677,0.0,0.3655281251555881
r_0692,0.6883042362643542,0.7125215840830418,0.7034463036749796
r_0892,0.7217319183436472,0.6486826629701922,0.6874792974934337
r_0025,0.0,0.47368790453683773,0.0
r_0214,0.5683297561178524,0.5127575209019773,0.5224394428495607
r_0310,0.0,0.4099024592556444,0.46446136955911965
r_0209,0.4754259813556954,0.0,0.0
r_0915,0.5930101596712865,0.41910345980132496,0.648150079615459
r_0989,0.5222293802589274,0.4930443476742009,0.7138626929105532
r_4592,0.0,0.0,0.49368258631532613
r_0208,0.570408073476784,0.5492088609410584,0.39174647298776294
r_0786,0.0,0.0,0.4369028672348042
r_2183,0.5888869162418355,0.0,0.4106380025616768
r_1216,0.7592425865140235,0.6176704905956734,0.7780847119887615
r_0366,0.6168387195926477,0.7048133538163421,0.6004190765153264
r_0821,0.5445648616501454,0.374931892812269,0.0
r_1194,0.0,0.3638313751715183,0.0
r_0439,0.5191953137648979,0.5048800951173311,0.5206142387434224
r_1795,0.49347422128559243,0.45366670446084706,0.38074886912897954
r_3545,0.6976637611444718,0.7779607575134133,0.6176052130517569
r_1811,0.3796966480662422,0.5353661580693021,0.43365547448384745
r_0831,0.6688217812949206,0.0,0.5775439768733992
r_0446,0.5966932859758807,0.5637082335333062,0.5260878916078924
r_0313,0.42834140802023196,0.0,0.4356250915414638
r_2131,0.6198001951301912,0.6111540323589053,0.5307155695876736
r_0569,0.0,0.4658536487690293,0.6319469686460568
r_2309,0.0,0.5707542751199706,0.571669816373201
r_0911,0.5582982564790189,0.46250971116971945,0.6355543699355057
r_0153,0.0,0.0,0.372114330670548
r_0545,0.6301583127844044,0.6219491255913637,0.8039441876013511
r_0570,0.5309927359120328,0.4331950002050404,0.6546598541373634
r_0478,0.0,0.0,0.439354357448961
r_1172,0.0,0.559587126322038,0.0
r_2450,0.563296329277595,0.6150441681139346,0.49957046616542833
r_0079,0.5480949546051782,0.0,0.6591821698875033
r_2045,0.0,0.0,0.48896421817557156
r_0558,0.0,0.4069215844977176,0.0
r_0938,0.5837298836366942,0.47170166259298263,0.38565380692529616
r_0503,0.0,0.38283399714073973,0.3789304206817753
r_0015,0.4263484973332271,0.0,0.0
r_4703,0.6226761049467189,0.0,0.0
r_4205,0.4770177926391655,0.0,0.0
r_2436,0.47169770494359925,0.0,0.0
r_0698,0.4490018479809762,0.0,0.0
r_0156,0.0,0.37732368071268735,0.0
r_2079,0.3633623083175074,0.0,0.0
r_0300,0.6663351462231857,0.0,0.5249836151429373
r_0468,0.0,0.3964722479090721,0.5277739108090015
r_0473,0.0,0.0,0.5170835358757759
r_0501,0.8996653412950502,0.8827541122647694,0.8088716817653459
r_0725,0.5974104303336305,0.5675831161199136,0.5294192305417564
r_2241,0.3610608232472371,0.0,0.0
r_2334,0.4650922070954139,0.507084170447904,0.0
r_2132,0.4138607352776469,0.37082176435659475,0.0
r_0665,0.0,0.0,0.3872646193924708
r_0279,0.4597848746793997,0.0,0.0
r_0471,0.0,0.4157671357113093,0.0
r_0144,0.40234938641101115,0.0,0.0
r_0148,0.3949467374316316,0.0,0.4336891924600831
r_2827,0.46101994069950303,0.0,0.0
r_0445,0.4979245645832888,0.3713183236918843,0.42742607131344523
r_0243,0.0,0.39029646579951877,0.0
r_2447,0.6060844506703861,0.7432479879633256,0.772545583203212
r_1171,0.0,0.5389914522934335,0.0
r_0891,0.0,0.42038924311416354,0.0
r_1838,0.713039766806598,0.5684193482147734,0.788009653113341
r_0118,0.442356721057394,0.0,0.0
r_0917,0.4875501740116821,0.0,0.0
r_0811,0.36562675516217213,0.0,0.0
r_2141,0.6507195112474878,0.40943551651063625,0.6312298687014561
r_0795,0.6275330596023883,0.5900815489971297,0.4425774419027828
r_0151,0.5334829744321071,0.42186685221553966,0.5912480694555907
r_2500,0.670724212380692,0.7092405030387348,0.673172704258893
r_0669,0.41421713025909335,0.46254802431449604,0.0
r_2508,0.670724212380692,0.7092405030387348,0.673172704258893
r_2883,0.0,0.0,0.3923153964692363
r_0491,0.7738553056926293,0.8038256709948188,0.6435883052040903
