,wildtype,1. Wine/European ,M3. Mosaic region 3,25. Sake ,1. Wine/European (subclade 4),26. Asian fermentation ,3. Brazilian bioethanol ,13. African palm wine ,10. French Guiana human ,8. Mixed origin ,1. Wine/European (subclade 3),5. French dairy 
r_2333,0.0,0.0,0.6200942358784682,0.0,0.0,0.0,0.6216085816012451,0.5864692943997329,0.6547106601572064,0.0,0.0,0.0
r_0215,0.6300627393660909,0.0,0.0,0.6063875664468545,0.6311338695041692,0.8226911652311726,0.0,0.0,0.6037727273429836,0.6425575995590317,0.0,0.0
r_0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296553071723028,0.0,0.0,0.0
r_1127,0.0,0.0,0.0,0.0,0.7056605751212517,0.6539756584273554,0.684447221064987,0.6142685139564255,0.0,0.0,0.0,0.6233755773851132
r_0018,0.6098508535279026,0.5958103195002684,0.6456083174436018,0.6877106595865242,0.0,0.0,0.5798888760409932,0.751748976587941,0.607785437833207,0.8137169314850291,0.6682521294532162,0.5849924806062132
r_0453,0.0,0.0,0.6654834696975619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005930971275428,0.7044505611003425
r_3071,0.0,0.0,0.0,0.0,0.0,0.0,0.6720080368972944,0.0,0.0,0.0,0.0,0.0
r_0855,0.0,0.0,0.6707615174320893,0.5874409816154897,0.0,0.6629338106624098,0.7123317483278725,0.0,0.0,0.6708425323420479,0.0,0.0
r_0039,0.0,0.0,0.0,0.0,0.5888645567231605,0.8485216237561033,0.0,0.7677388242937777,0.0,0.0,0.0,0.5632204381954191
r_0353,0.0,0.5722666330101316,0.0,0.0,0.0,0.0,0.6391037758570315,0.0,0.6431651901293602,0.5618363733576194,0.0,0.7344124390820217
r_0033,0.0,0.0,0.0,0.729876611780903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_3309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6105875436721271
r_2496,0.700785546795475,0.737542370053422,0.0,0.5740000417631428,0.5960701535265807,0.0,0.7032343422025358,0.6241758719491755,0.0,0.7912383773988247,0.7134402637267341,0.0
r_2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241569581535492
r_0062,0.0,0.0,0.0,0.0,0.0,0.6473384560919786,0.0,0.0,0.0,0.0,0.6002763244502685,0.0
r_0514,0.0,0.0,0.7427275063370299,0.0,0.0,0.0,0.0,0.6136088021423549,0.0,0.0,0.0,0.698844253421268
r_2541,0.0,0.0,0.0,0.0,0.0,0.0,0.6897151874170278,0.0,0.0,0.0,0.0,0.0
r_0735,0.8155609708306772,0.7555497385314649,0.7869554049879072,0.0,0.7292441394857605,0.6604341370247813,0.6900507165058569,0.0,0.0,0.0,0.0,0.6851371335085138
r_0941,0.0,0.0,0.5790909520408327,0.0,0.0,0.0,0.0,0.0,0.0,0.5703944505759508,0.0,0.0
r_3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684564248279569,0.0,0.0
r_0816,0.746452024261139,0.7376639522717185,0.0,0.7317465873199134,0.6480239981568812,0.6882316206382447,0.8410885024495238,0.7309609847318386,0.0,0.0,0.6397618866853199,0.0
r_1574,0.5646790053380035,0.0,0.0,0.0,0.0,0.0,0.0,0.6281817847911386,0.0,0.0,0.0,0.6524703104060785
r_0727,0.0,0.0,0.7371394505675821,0.0,0.0,0.620645939878977,0.0,0.0,0.6095225502423791,0.0,0.0,0.0
r_1056,0.0,0.0,0.8269400802006803,0.0,0.0,0.0,0.0,0.5791589846717816,0.0,0.0,0.0,0.0
r_1038,0.0,0.0,0.0,0.0,0.0,0.0,0.6011150212740919,0.5697200300105734,0.0,0.7450634309163024,0.7082539287864775,0.0
r_0832,0.7096928321868121,0.0,0.0,0.6109548596775989,0.7116215626867081,0.0,0.5668967719560187,0.0,0.0,0.0,0.0,0.5908321981019062
r_2344,0.0,0.0,0.0,0.6056613668888003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0759,0.0,0.0,0.0,0.5745558175638444,0.6583877694606749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1265,0.0,0.6861613007110268,0.0,0.613429019087169,0.0,0.0,0.7833729988040159,0.0,0.0,0.7192587914390133,0.6529334998943248,0.7488463139918438
r_3103,0.0,0.0,0.6808323132101103,0.0,0.0,0.6025771102289863,0.5686407003569861,0.0,0.0,0.5703927492174221,0.583396001067909,0.6460764670113193
r_1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7809703290681903,0.644886153719921
r_1214,0.0,0.0,0.0,0.0,0.7981032968119564,0.0,0.0,0.0,0.0,0.0,0.0,0.7711599218404122
r_0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863713555418298,0.0,0.0,0.0,0.0
r_1000,0.0,0.6398773780885716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2863,0.0,0.6180452152210791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0109,0.0,0.0,0.0,0.0,0.0,0.0,0.608524642983487,0.0,0.0,0.0,0.0,0.0
r_2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7012845708397217,0.0
r_1041,0.5949448346055355,0.0,0.0,0.0,0.0,0.5801420757439828,0.0,0.0,0.0,0.0,0.0,0.589661755722257
r_2379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369708707092278,0.0
r_0893,0.0,0.0,0.7192432287500902,0.0,0.7985430057119907,0.6299553232349826,0.7032831683338695,0.7611672412620886,0.5670102254303016,0.0,0.5881545193498022,0.6619722081607184
r_0763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716280490757256,0.0,0.0
r_0719,0.6179591560037259,0.5942307849889361,0.0,0.0,0.6462893685110531,0.6729994017882298,0.0,0.6461635789042625,0.0,0.6977068612279648,0.0,0.0
r_2374,0.0,0.0,0.0,0.5990512246100548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2378,0.0,0.0,0.0,0.6259787092264691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020697725764488,0.7206748293383698,0.0,0.0
r_2468,0.5854135944608673,0.745332171014659,0.6135716518824481,0.6123902836846729,0.7673117953932365,0.7368580221273504,0.667505416561234,0.0,0.8268507100104486,0.5796291831418843,0.5943441515337844,0.6920623365442372
r_3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378817115634937,0.0
r_0027,0.6794311548295164,0.704895709175485,0.6565237452635485,0.6617738345140227,0.7329991113799397,0.0,0.7257399300224875,0.8468277820167553,0.7927348852479574,0.7630000878562048,0.0,0.5631905801670573
r_2397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5659639690112954,0.0
r_2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7103404764163179,0.0
r_1277,0.693080065434048,0.8402395452870248,0.0,0.0,0.7798381899423967,0.0,0.0,0.7557562101793316,0.6865324499486716,0.8682367383963756,0.6549724952215807,0.0
r_0207,0.6901033413086376,0.6316582134124551,0.5694494443078719,0.6946244610253556,0.5848610553267625,0.0,0.7591414627445681,0.0,0.0,0.7207044689241736,0.6554842280984781,0.5931318071449885
r_0463,0.0,0.0,0.0,0.0,0.0,0.7450539848691073,0.6670688487358294,0.0,0.0,0.0,0.0,0.0
r_0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5720587356270364,0.0
r_0020,0.0,0.0,0.0,0.0,0.0,0.6474114825627149,0.5950039149697272,0.6641784769798913,0.5708687217701144,0.0,0.0,0.638013387933237
r_0959,0.7930913017415768,0.5830816082237518,0.0,0.7331666931942787,0.8558195652691412,0.7242374557250432,0.5943941788686761,0.0,0.0,0.5724022786046514,0.0,0.0
