,wildtype,1. Wine/European ,M3. Mosaic region 3,25. Sake ,1. Wine/European (subclade 4),26. Asian fermentation ,3. Brazilian bioethanol ,13. African palm wine ,10. French Guiana human ,8. Mixed origin ,1. Wine/European (subclade 3),5. French dairy 
r_0713,0.0,0.0,0.0,0.0,0.6125178301023746,0.0,0.721443260612062,0.0,0.0,0.0,0.6724870697204185,0.0
r_3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928015984469444
r_1022,0.0,0.0,0.0,0.7868501628020641,0.0,0.0,0.610315969109616,0.5777921036387464,0.0,0.0,0.0,0.5671880326479821
r_0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6655209502723123,0.0,0.0
r_2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605247684285437
r_0562,0.0,0.0,0.0,0.0,0.0,0.0,0.5615293645249245,0.0,0.0,0.0,0.0,0.0
r_0250,0.0,0.7602995805593653,0.5849911764450689,0.6346356276388376,0.6087701563548578,0.6764329603154763,0.760989152487252,0.819802687056045,0.0,0.0,0.0,0.0
r_0147,0.0,0.0,0.0,0.6225825505992828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2464,0.6604127957455218,0.5753143572804613,0.0,0.0,0.7273135673947076,0.74829666898887,0.6289285747096365,0.0,0.7191714851923001,0.0,0.0,0.7780556326250092
r_0115,0.0,0.0,0.0,0.5745558175638444,0.6583877694606749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0476,0.0,0.7249937026793372,0.6198860469964909,0.6276732635921976,0.0,0.0,0.6618251712736435,0.7486191869008335,0.5750771209609276,0.0,0.601391216045488,0.6295039093569479
r_0479,0.0,0.0,0.0,0.0,0.0,-0.5748598647168159,0.0,0.0,0.0,0.6307251582289695,0.0,0.0
r_0912,0.0,0.0,0.7241908670459243,0.0,0.0,0.0,0.7057398268900994,0.6258947721494798,0.0,0.616067501210497,0.0,0.0
r_0499,0.0,0.0,0.0,0.0,0.0,0.0,0.7452967796606622,0.0,0.0,0.6693181714935662,0.0,0.0
r_3077,0.0,0.0,0.0,0.0,0.0,0.0,0.6056524998649081,0.0,0.0,0.0,0.0,0.0
r_0961,0.0,0.0,0.0,0.0,0.6569929453820123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1110,0.645761225158825,0.8149821851776837,0.6221377001880238,0.9350906442495115,0.6551081436583532,0.0,0.6822344803275636,0.0,0.0,0.6769916630622663,0.6445137821645126,0.6534033717491579
r_0988,0.7461875958648745,0.582701054906043,0.7397583970806829,0.7775921573287106,0.8971343169302629,0.0,0.625570247771423,0.7039760296801836,0.7697290088939228,0.8740864041148375,0.7165287493032475,0.0
r_2433,0.0,0.0,0.0,0.0,0.0,0.0,0.7176610984743932,0.5737958830456267,0.6344397782080141,0.0,0.0,0.7700023297223836
r_0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338250457872663,0.8988973573619864,0.0,0.0,0.0
r_0886,0.5833242018630435,0.0,0.7493177721800275,0.564167312798953,0.7956993350301786,0.7360169487043426,0.0,0.0,0.0,0.0,0.7187030719964701,0.7213554418639805
r_0226,0.0,0.0,0.5810815989166044,0.7672377356745749,0.0,0.0,0.6072888687455009,0.0,0.0,0.0,0.0,0.6034340399675566
r_0546,0.6747466002997402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6279833356165231,0.0,0.0,0.0,0.7009938687755349
r_1072,0.660476593403877,0.0,0.0,0.6592209700709778,0.6936420942097083,0.7450312200346497,0.0,0.7363515045008229,0.0,0.0,0.0,0.0
r_0510,0.5894503169883514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689517528907324
r_2260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60524768428542
r_0732,0.0,0.0,0.0,0.0,0.0,0.7348020296605029,0.7575220989144975,0.6702855295128118,0.5702119681906122,0.6493836054834717,0.8341487392081529,0.0
r_2176,0.0,0.0,0.0,0.0,0.0,0.0,0.6263707427312019,0.0,0.0,0.0,0.0,0.0
r_0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6553442346631282,0.0,0.0,0.5957782225862234
r_1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5699641170666824,0.0
r_3042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106086634761642,0.0,0.0
r_1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458222993098158
r_1224,0.0,0.0,0.0,0.0,0.6550051854023544,0.0,0.7028352302230217,0.0,0.0,0.575324861355532,0.0,0.0
r_0438,0.0,0.5677981772469267,0.0,0.7763458860388592,0.5866100002492993,0.0,0.65739842569426,0.0,0.0,0.0,0.7452120111214138,0.5772633990715557
r_3079,0.0,0.0,0.0,0.0,0.0,0.0,0.6540854007656135,0.0,0.0,0.0,0.0,0.0
r_2304,0.0,0.5942738752237056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0502,0.0,0.0,0.6463291559196032,0.6158188772528357,0.0,0.7800699471124599,0.7666714300907174,0.0,0.0,0.7277139224403456,0.691036648156636,0.0
r_0701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578699606683738,0.0,0.5700384821893676,0.0,0.6379061792084452
r_0219,0.6312140541831924,0.0,0.0,0.0,0.0,0.5778576999983653,0.0,0.0,0.6129030117858751,0.0,0.0,0.0
r_2308,0.6685653231644425,0.60281738655016,0.6307558698030884,0.7404203475855837,0.7641371472001677,0.6658629431947585,0.0,0.7157715554629673,0.6754287850576793,0.8051012163112333,0.7379894584174831,0.671818194840937
r_0565,0.0,0.0,0.0,0.0,0.0,0.573269121641051,0.0,0.0,0.0,0.0,0.0,0.6467730698462988
r_1077,0.0,0.0,0.0,0.5801299945557585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056027215118068,0.0
r_2262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6407197283838734
r_2167,0.0,0.0,0.0,0.0,0.0,0.0,0.7953846667187023,0.0,0.0,0.0,0.0,-0.5651426124414538
r_2432,0.0,0.0,0.0,0.0,0.0,0.5616032487535841,0.0,0.0,0.0,0.0,0.0,0.6410276102581866
r_1184,0.0,0.0,0.0,0.0,0.6218292304720656,0.8081463054558446,0.6758612069739092,0.0,0.0,0.0,0.0,0.7661078876673063
r_0131,0.0,0.0,0.0,0.6196455294132899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0451,0.7322776855923457,0.0,0.0,0.0,0.5867275511686447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0818,0.0,0.0,0.0,0.0,0.6179981284387028,0.0,0.0,0.0,0.0,0.6409047158560633,0.0,0.0
r_0908,0.0,0.0,0.7053164210560953,0.679222563840554,0.0,0.0,0.6589080529017568,0.0,0.0,0.0,0.0,0.0
r_0152,0.0,0.0,0.0,0.0,0.0,0.7499212742027247,0.5703407119591146,0.0,0.0,0.6206002973234416,0.0,0.0
r_0211,0.7438036640231263,0.0,0.6950787794761845,0.0,0.0,0.5794965232151639,0.6561963371533885,0.0,0.7221867771097702,0.6031106459050875,0.0,0.0
r_0662,0.0,0.6050481980471218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61324707360271
r_0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6821189317578762,0.0
r_0505,0.6057208756317924,0.0,0.0,0.6564914709177423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659754117863907
r_1161,0.0,0.0,0.0,0.6539790958122466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0542,0.6786194524092916,0.704895709175485,0.6557243886645334,0.6686283737414406,0.7593378911481038,0.0,0.7257399300224876,0.8444479452268312,0.7914456057414898,0.7780358799802558,0.0,0.0
r_1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5764381666465297,0.0,0.0,0.617086450435071,0.5942220935610566
r_0958,0.7114482860943525,0.6370117242883684,0.0,0.0,0.0,0.0,0.7166256964430375,0.0,0.0,0.0,0.0,0.0
r_1219,0.649382056942809,0.6192487994952736,0.6305983965262543,0.0,0.8272240394223052,0.8050654646267577,0.7963788396446577,0.7895123925899732,0.0,0.0,0.0,0.0
r_0127,0.0,0.0,0.0,0.5707428888099392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2166,0.0,0.0,0.0,0.0,0.0,0.0,0.7751192945494577,0.0,0.0,0.0,0.0,0.0
r_2850,0.7445397629952942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1249,0.0,0.567736794897863,0.0,0.0,0.0,0.0,0.6636105864006072,0.0,0.0,0.7137762966151073,0.0,0.0
r_1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264131506427767,0.0,0.0,0.0,0.0
r_4162,0.0,0.0,0.0,0.0,0.0,0.0,0.7819009828318271,0.0,0.0,0.0,0.0,0.0
r_2504,0.700785546795475,0.737542370053422,0.0,0.5740000417631428,0.5960701535265807,0.0,0.7032343422025358,0.6241758719491755,0.0,0.7912383773988247,0.7134402637267341,0.0
r_2492,0.7515847600203678,0.6047446178975977,0.6662443301468591,0.0,0.0,0.7847745184272852,0.0,0.6044691202338706,0.0,0.7868460332486988,0.8388473075874439,0.6395355467772611
r_0982,0.0,0.0,0.0,0.0,0.0,0.5664436284190314,0.6587810157418093,0.0,0.0,0.0,0.6720816134460701,0.0
r_1054,0.8594222769170652,0.0,0.5829157429861995,0.6800353583945893,0.7040521515364264,0.6181840110499368,0.0,0.0,0.7652596263301661,0.0,0.7723872027543766,0.0
r_1266,0.6081651146214954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1273,0.0,0.7143991593608875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0486,0.0,0.0,0.6262527441674464,0.8287801017418728,0.7862282718769975,0.7080567513719552,0.7082726549444769,0.0,0.765880914853196,0.5618585788277082,0.8045354308025403,0.6765810933771317
r_0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7145333721173708,0.0,0.0,0.0,0.0
r_0962,0.0,0.0,0.0,0.0,0.5773589256069791,0.0,0.0,0.0,0.0,0.0,0.0,0.6057868843946791
r_0914,0.0,0.0,0.6707615174320893,0.5874409816154897,0.0,0.6629338106624098,0.7123317483278725,0.0,0.0,0.6708425323420479,0.0,0.0
r_0771,0.0,0.0,0.0,0.0,0.0,0.0,0.5753974652060245,0.0,0.0,0.0,0.0,0.0
r_2860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6396935370220074,0.0
r_1254,0.5786950606553776,0.0,0.7017945316063381,0.6362644776188302,0.0,0.8630966735490412,0.5699467481554292,0.0,0.6893353429782263,0.0,0.824673429430752,0.0
r_1223,0.0,0.710332921743277,0.7225431573138652,0.6515949565365057,0.933653766621025,0.5740971896997591,0.6711279568939448,0.0,0.0,0.7659846786352339,0.0,0.0
r_1201,0.6884562621401114,0.6727070688631815,0.7826081435170817,0.8999754588870232,0.5981469896384246,0.9175383890235806,0.8441216239426943,0.8162642829019924,0.0,0.820716826012138,0.0,0.0
r_0956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687164629680191,0.0,0.0
r_0467,0.0,0.583144279621576,0.8725275153898716,0.0,0.8479098829950424,0.5842405419344949,0.0,0.7333127287743259,0.0,0.6120222152070213,0.7830734300240645,0.6812645113519381
r_3262,0.0,0.5930587782969056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_3101,0.0,0.0,0.0,0.0,0.6288633790860727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2165,0.0,0.0,0.0,0.0,0.0,0.0,0.7065468399859786,0.0,0.0,0.0,0.0,0.0
r_0711,0.0,0.7250760531932621,0.0,0.0,0.0,0.0,0.5912688446499004,0.0,0.0,0.0,0.0,0.5623452159223233
r_0452,0.0,0.0,0.0,0.0,0.6162295881117729,0.0,0.0,0.0,0.0,0.0,0.0,0.5653589551703415
r_0992,0.0,0.0,0.0,0.0,0.6620149583690849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_3183,0.0,0.0,0.0,0.6354731641577425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5824907635293345,0.0,0.0,0.0,0.0
r_0699,0.0,0.8189496001741878,0.6376668594348591,0.6618514419151815,0.0,0.0,0.0,0.7369141684124262,0.0,0.6788964736237642,0.6108721739298895,0.0
r_2488,0.700785546795475,0.737542370053422,0.0,0.5740000417631342,0.5960701535265807,0.0,0.7032343422025358,0.6241758719491755,0.0,0.7912383773988247,0.7134402637267341,0.0
r_0996,0.0,0.0,0.0,0.0,0.5888645567231605,0.8485216237561033,0.0,0.7677388242937777,0.0,0.0,0.0,0.5632204381954191
r_0918,0.0,0.0,0.0,0.0,0.0,0.0,0.7236236256836468,0.0,0.0,0.0,0.6355149783728782,0.0
r_3081,0.0,0.0,0.0,0.0,0.0,0.0,0.586813334974979,0.0,0.0,0.0,0.0,0.0
r_0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5984977986452445,0.0,0.5934989061126084,0.0
r_0307,0.6125557279046995,0.5657441452417571,0.9007098205499837,0.7023671503451921,0.6762002463886102,0.5616111012031411,0.6925412499815703,0.7274363622538058,0.614242233474412,0.6917944805281988,0.5853043785905105,0.0
r_2483,0.6026341100950048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1057,0.0,0.0,0.606882522427008,0.0,0.0,0.0,0.0,0.6798947532236636,0.0,0.0,0.0,0.571023683454288
r_0548,0.0,0.0,0.0,0.0,0.7349934195018585,0.6844181165280762,0.0,0.0,0.0,0.0,0.0,0.6693943173051708
r_0561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5905290547990094,0.0,0.0
r_2034,0.6982094965664789,0.6387676931846978,0.6404050702048626,0.0,0.803337915817405,0.7764977717699513,0.6394286362512718,0.0,0.0,0.0,0.5806160601595214,0.0
r_0179,0.5725394425692488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0157,0.6994886788294751,0.0,0.0,0.0,0.0,0.0,0.6127049431737851,0.6825873489710832,0.0,0.0,0.0,0.581261738526106
r_0658,0.0,0.5951221365727066,0.0,0.582252335716487,0.0,0.0,0.0,0.0,0.0,0.0,0.6328801724526342,0.7440303112161879
r_2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322201381165224,0.0
r_4590,0.6439905825512058,0.0,0.0,0.0,0.0,0.0,0.7322662227424053,0.630907739979308,0.0,0.709935946309842,0.0,0.0
r_3119,0.0,0.0,0.0,0.6354731641577425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_1099,0.6091205540215647,0.0,0.0,0.0,0.762809327825858,0.0,0.0,0.0,0.0,0.0,0.0,0.6276247736303506
r_0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6034563246751573
r_1205,0.0,0.0,0.0,0.0,0.70297756207497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_3074,0.0,0.0,0.0,0.0,0.0,0.0,0.6130548345323708,0.0,0.0,0.0,0.0,0.0
r_2346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5751564145572532,0.0,0.6209712272907212,0.0,0.0
r_0939,0.0,0.0,0.0,0.0,0.5997887020520632,0.6138138729858007,0.0,0.0,0.0,0.0,0.0,0.6634947990511804
r_0793,0.0,0.0,0.0,0.0,0.0,0.0,0.6065584669456847,0.0,0.0,0.0,0.0,0.0
r_0692,0.0,0.0,0.6126936250990609,0.0,0.0,0.5630955171964006,0.9000499900493142,0.7411526423758292,0.6101052780601327,0.7144754394381202,0.7353133358856889,0.5868821449364279
r_0892,0.6145264756227715,0.0,0.8313150404238547,0.6377643832931481,0.7943622045689356,0.6408397372576476,0.6027997755353451,0.5834936972712397,0.746441865625002,0.7828181579757231,0.8873905881853212,0.6133023357884636
r_0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5805267648426111,0.0,0.0,0.0,0.0
r_2369,0.0,0.0,0.0,0.6031227641470116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0214,0.5631749937982156,0.0,0.7753922284176945,0.7860614877876011,0.0,0.7850323428541,0.6773561766412468,0.0,0.0,0.7421511592227905,0.0,0.5902153129832609
r_0220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7680240439873853,0.0,0.6146773354231748
r_0310,0.0,0.7194643600538528,0.0,0.7084267619084577,0.0,0.0,0.0,0.0,0.7246368279849706,0.0,0.0,0.0
r_0209,0.0,0.727787280835319,0.7146744968118297,0.0,0.0,0.0,0.0,0.6906359375045478,0.0,0.7296939328245822,0.0,0.626928158283374
r_2179,0.0,0.0,0.0,0.0,0.0,0.0,0.5789406100233541,0.0,0.0,0.0,0.0,0.0
r_0915,0.0,0.0,0.5670692555137016,0.6288361461896409,0.0,0.7012223973075632,0.6775326250903605,0.5895258174181368,0.0,0.5689947140925832,0.5672376238800966,0.6702451372537097
r_2261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605247684285437
r_0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6368760577646099,0.0,0.0
r_0695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649036225125938,0.0,0.0
r_1237,0.0,0.0,0.0,0.0,0.659514759359874,0.0,0.0,0.0,0.0,0.6303263657654543,0.0,0.0
r_0989,0.6083142040217576,0.0,0.6649961465697288,0.6716855808147045,0.8984538807320959,0.0,0.782463096057906,0.7780771377042093,0.0,0.8899167841348123,0.0,0.0
r_0349,0.0,0.0,0.6010557402694909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_3231,0.0,0.0,0.7289155321761569,0.0,0.0,0.0,0.6693527162261512,0.0,0.0,0.0,0.0,0.0
r_0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7637034416165498,0.0,0.0,0.0,0.6064129933487019
r_4592,0.6500498984481308,0.0,0.0,0.0,0.0,0.0,0.7322662227405996,0.6326677910734709,0.0,0.709935946311387,0.0,0.0
r_0208,0.7062013785860872,0.8077331188660858,0.6051919199526657,0.7632849047977801,0.6579453613508394,0.0,0.7746147680578325,0.6758310098714801,0.0,0.724031318827775,0.6966843342869802,0.6447056112091447
r_4185,0.0,0.0,0.0,0.0,0.5822287576690369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_2183,0.0,0.0,0.0,0.0,0.6849089154623229,0.0,0.0,0.0,0.730002068660119,0.0,0.6739677243881973,0.0
r_0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5780705481746437
