,r_1054,r_0486,r_0892,r_0893,r_0366,r_0962,r_0961,r_0534,r_0467,r_0886,r_0450,r_0959,r_2115,r_0173,r_0300,r_0280,r_0658,r_1022,r_1021,r_0451,r_0713,r_0773,r_0439,r_0438,r_0226,type
AGR_2.re,11.59463191189541,13.226886630926986,10.956146017781602,11.233470077464679,12.67382221996077,9.942292638143329,6.638220708371795,11.101729105900485,9.047383663561648,7.907800647285401,12.681556194498263,12.278573563569143,7.338472497874087,9.150821354046917,10.413322769924731,10.301917471298045,9.463754417788406,7.97350063787288,9.625459364730403,8.668462312315611,10.540597222823623,10.006631998432198,10.32835206855686,9.694332814409078,9.795498489906135,wildtype
CEI_2.re,11.42144108112897,13.676158969658797,11.404295184981164,11.047626453120879,12.352931757187312,9.991283160923196,6.2223945083478895,10.877819780141884,9.76845905790166,7.877613129264577,12.765033927080452,12.167345835516903,12.451032094732167,11.521236290910561,9.052871033035505,8.22546128072698,7.766961592591532,8.537838567064446,7.934653092934948,7.840902736961297,9.348623417628813,7.827309661454694,8.667242228000788,7.941476725944034,8.11218343970295,wildtype
CDI_1.re,10.77860691212095,13.587573627504705,10.77717079051567,11.162191484657942,11.97996073093384,10.398478199868276,7.462132248204199,10.802245398154955,9.060497119475796,7.387133618577216,12.958314709478325,11.77126921720247,11.595923564139024,11.414274687853537,8.656242377451441,8.929987451255888,8.234803729160866,8.106838014245321,7.011475963556453,7.80622690552019,8.570055428636541,8.362372675392656,8.228020759544544,8.027058596667988,8.078589825232966,wildtype
CCQ_1.re,11.9559586827753,13.718160031429584,11.13758464104544,10.957001164043552,12.730871870328569,9.962630763879572,6.479978264174854,9.168757803400457,9.563896335972878,7.742206641789931,13.301199301637283,12.649509596847135,12.399030996083662,10.71356070018092,8.041661703042507,7.390089686207709,6.457579518306457,7.193058656090315,6.860159425988859,7.292638821490325,8.35510186265512,6.856911802040868,8.003871834237449,7.737117392863878,7.975165027392171,wildtype
ARG_5.re,12.168619448147677,13.975602705120764,11.396849147459724,11.192575176511934,12.770738681337935,10.333505174862312,6.9307645108228355,10.748559934382358,9.60679554095322,7.97094594752751,13.329605996692417,12.726892647443663,12.450081048673654,9.75483430430772,8.409563552334424,8.275388552072847,7.036243469178866,7.315931532891581,7.14117354256911,7.09004100740423,8.381168027574253,7.008144512596919,7.791235595947615,7.207982568401224,7.718506728889705,wildtype
BMB_1.re,12.251529696867712,14.051571039460049,11.671665647912215,11.625782897530854,12.834270162441506,10.243778593577465,6.310031435384859,10.297975592014787,9.390117370437453,7.369334505392766,13.18108185541988,12.625719018137563,12.515601355958168,10.327879252351915,7.892453940860882,7.546479689480542,6.5967725881477755,7.425013034572258,6.906277423322918,7.113495608711824,8.46550046254826,6.966707191888019,8.137053067711234,7.766760758722372,8.290109663801108,wildtype
CEG_4.re,11.68641025874739,13.691968682832002,11.223317281198513,11.241186597912865,12.577898817961977,10.291896714950575,6.0111933731645975,9.023804642471497,9.583625155359513,7.5892650562525,13.306436445173235,12.4387001922779,12.36059956148173,11.851465399441222,8.373206510188826,8.481437563616169,7.281798451803172,8.639546149355505,6.771699612275063,7.557883112396047,8.734944918482917,7.182857541579721,8.531129705813262,7.960391458125399,8.257416525165112,wildtype
CCS_1.re,11.722054207163817,13.873745475296767,11.538496341783727,11.45987028390434,12.251980392641126,10.2452158879661,6.781587280718469,10.535381094878684,9.648806386126575,7.429315338499873,13.202345949311518,12.455958778505185,12.785905536487183,10.629008849497927,8.861062814648605,8.445471169131237,7.331795022114825,7.834949135203208,8.034365084856388,8.009824974103752,9.036174344892782,8.024209705747401,8.69437745619781,8.228601017560099,8.561967765810529,wildtype
AMH_5.re,11.799326403473458,13.539789751611103,11.329366957094802,11.41152027758239,12.280574716704622,10.279025475695324,6.146476377776416,9.022632568219286,9.884324726722525,7.839169108189331,13.257886770510542,12.064212126176585,12.559353463931284,11.435818696724136,8.480001266768731,8.61727383987198,7.7204148224776885,8.693112468204204,7.16515205542737,7.708104827163682,8.769251241587398,7.64609474403211,8.725635298415776,8.031130650728,8.30409785923926,wildtype
CCR_1.re,11.656171431724964,13.662181196792993,11.283495049435531,10.821644814331727,12.379963288127012,10.049293729258912,6.736451523995878,11.129126872824665,9.695793634852434,7.502438421063048,13.108180844212205,12.39030949762989,12.59891848619606,11.28611893134665,8.961242747598707,8.484131566376357,7.2827714106788,7.7473715794695295,8.162437897596947,7.792804810309998,9.538925580021482,8.317572460042385,8.839858624583508,8.355833619020558,8.36679735099939,wildtype
BAM_7.re,11.751680310347961,13.901272020479686,11.21119557747468,11.138301672739145,12.621430339701531,10.422562981956563,6.445403672184028,9.460485480162703,9.750059078557966,7.269415803674419,13.237537350834492,12.76967281541066,12.233174677810869,9.976718006020482,8.416032337096693,7.89183591143296,6.642677560983455,7.06538572991161,6.806931544877326,7.351008793327168,8.12236864263187,7.2716468276831945,8.158147654955055,7.641058832789197,8.37497665362675,wildtype
YCR.re,11.626481388845326,13.688894971070367,11.529585955658192,11.29541231971904,12.11220242266252,9.940578302040901,6.589397073954219,9.64103085477934,9.488912719144825,7.637440725249685,13.000540732125696,12.013182453334856,12.383251209153237,10.235308731778604,8.495136394996587,8.249181116725083,7.091310638984725,7.809116103776503,7.918371240883516,7.753771786768387,9.464341607510024,7.503374942617157,8.597745364421312,8.26082500358786,8.567402716096142,wildtype
CDH.re,11.845226838195575,13.933229772672513,11.467816236437367,11.342109428972815,12.594329652648772,10.152962825709073,6.41099508514569,9.001748691886881,9.24424517505572,7.695785942487175,13.334640953872832,12.838642053794452,12.703368089993143,10.437922877512994,7.582527067535998,8.456140823340126,7.021510292189049,7.8362825180974935,6.054799906313027,7.595164327530358,8.190325762880693,6.45184552071641,8.468522255715953,8.241383010044805,8.112881116037526,wildtype
CCN_1.re,11.909232051301073,13.717673187921944,11.210079552493116,11.346665043108908,12.73729654383678,10.467207733213526,6.415380222733832,9.109280562212128,9.679428720877349,7.884669373893819,13.521022955397392,12.666488010925875,12.495594111279242,10.943232297714875,7.720627218957667,6.762071527357496,6.177650022875783,6.446196063122919,5.714452148185329,7.088240028098356,7.73051209310095,6.094143746023328,7.68357776810996,7.113361719395484,7.512657987663307,wildtype
BAI_7.re,11.385979431564591,13.391906872545452,10.822634102614236,10.910582668888049,11.608130050263727,9.771837679201914,6.5018196698016055,9.019113269075447,9.092405816964904,7.275771121399029,12.909789541753119,11.968682352836485,11.903785548275719,10.282357358300462,8.674542206566736,8.784510801819938,7.501303442639328,7.7080691553748375,7.880034067621196,8.078812929934772,8.984254043153014,8.320748893383296,9.158048451977564,9.025659984188167,9.109591954543157,wildtype
CDF_1.re,12.029203279692815,14.038600069756876,11.625134655350276,11.553786427292634,12.926668922166991,10.401954366401378,6.2870056532059095,9.442979701650563,9.414451375752213,7.625683492315814,13.463895523194596,12.902421259072542,12.930883997205857,10.891801956991664,7.72297637568233,8.204921304969071,6.8744099789129205,7.8375480709317795,6.164882615601639,7.591059025514845,8.249310909417858,6.6691817901874355,8.363101881040166,7.938296699106699,7.838785917431707,wildtype
CCV_1.re,12.038763990674699,13.741120983566736,11.093709136273555,11.134160581228237,12.48470003569553,10.212329150548936,6.34208047202297,8.906336521078806,9.472591305283595,7.69153784004614,13.251223670569049,12.64653210532569,12.047074963286308,10.855776931894649,7.758870102076466,7.054994988388285,6.394518137794513,7.181961965802723,6.223038895158649,7.178750442232339,8.13975621385028,6.908066976310716,7.866435770515463,7.577744677203038,8.098254416198928,wildtype
BMA_2.re,11.55111736133244,14.39714334008523,11.853902045277204,11.081271155233223,13.207261053481664,10.738571337269839,6.336149875259016,10.89756931377851,9.798640959125972,8.219479321921794,13.307076841068938,12.77532825589999,12.614555911475529,10.357822045917295,8.517717727252053,8.098366534088948,7.411320936331359,7.9153571105518505,7.232409884460551,8.03091285842095,9.17690766321122,7.368066537021053,8.229420539546423,7.564425695620315,8.361076885989728,wildtype
