,r_1054,r_0486,r_0892,r_0893,r_0366,r_0962,r_0961,r_0534,r_0467,r_0886,r_0450,r_0959,r_2115,r_0173,r_0300,r_0280,r_0658,r_1022,r_1021,r_0451,r_0713,r_0773,r_0439,r_0438,r_0226,type
BAQ_7.re,11.930350806484652,14.061346420387629,11.638389430675414,11.600983212909327,12.77148411695176,10.587174809823582,6.697588235466066,10.22646573649434,9.873323270670923,7.509380166402325,13.506579618028622,12.602537135405749,12.59692865895443,10.267106623054385,8.737841704917328,8.620665467314229,7.1975352354819435,7.725992159379237,7.192906999541549,7.460144630511462,8.272847409546834,7.5817114518577124,8.454661710262455,7.738202069873988,8.383594967035306,wildtype
BAK_7.re,11.884533845107491,14.47421859259813,12.036543369468172,11.57417578820237,12.838077486521119,10.194681920963866,6.511772220373933,11.164633622554629,9.57040664391116,7.669928052068865,13.206546623522707,12.540907135171373,12.598701992304477,10.87410347416664,9.192669457662378,8.783611367773448,7.874306431967479,8.290474996007013,8.077615529709966,8.496895576000924,9.720981832829002,8.060653214854238,9.223138902486124,8.317174273520868,8.452204815679845,wildtype
AKM_4.re,11.297281135043054,13.242307429245518,10.2797862123893,10.318110215388986,11.580843234751992,9.773649109791137,6.774667230567156,10.020458322163764,9.242914979324324,8.024799931275645,12.682500031654637,12.095128971132663,11.290245241257017,9.203611809236632,8.808771431175627,8.181767856816508,7.649655544305533,7.223325027636707,7.308120646015889,8.445444442150377,8.86916804334082,8.113280821021737,8.852814568703861,8.704899373258192,8.761323369024563,wildtype
BAN_7.re,11.046960362179572,12.758834542783699,10.011507537411193,10.187279612455448,10.829208420140095,9.023720793411014,6.912462201750669,10.651352171108995,8.989288351337567,7.781626706094646,12.314530984857683,11.390533148799609,10.97019772752661,11.6300214013035,9.584861727207285,9.24573449790667,8.880811963664586,8.132895201864896,8.233370068925929,8.922781904179608,9.470417138439592,9.050751061012804,9.37009281112487,9.22240407515772,9.06998949810009,wildtype
CDA_2.re,11.498410051425646,13.72163666341506,11.228434740663522,11.221711687287291,12.468930476418652,10.945198656153064,6.2364585123995235,8.774567830045028,9.66651255521272,7.910514658432627,13.20126803046481,12.84568298262765,7.422792907004745,11.066315060867462,7.6623146085991065,8.060668209522678,6.19194218720577,7.923268792241178,6.562119852681683,6.593712002542581,8.131352253614473,6.767436698589195,7.196030388828672,6.931388542547711,7.5613884517734835,wildtype
CDL_3.re,11.78154522644107,13.912223299806485,11.320873977821755,11.405115500243634,12.09915014040819,9.948433068814008,6.401198432618402,9.701064824010563,9.536600273698472,7.405097298969166,13.044157482596122,12.341511353178923,12.408053583675345,10.268003816200652,8.547329077274567,8.409774057427523,7.333838008955557,7.556178930841141,7.742050361053284,7.749128803334991,9.461948441341157,7.7185572816394075,8.763514180580431,8.372513428783437,8.726889620346185,wildtype
BMC_1.re,11.974872765245587,13.739585483674682,11.73425828834297,11.479270392900409,12.711408829143116,10.373319745298298,6.193505179680648,10.681564913300068,9.480027067631024,7.953796512123436,13.076505849069251,12.531176047304697,12.689841746247936,10.784984744998901,8.032733240008115,7.506905226007447,6.837714354795728,7.397466624320787,7.146796058633433,6.887827500752273,8.738151060915119,6.911506471264832,8.009091569347076,7.283602036991808,7.6828528120956285,wildtype
BAG_6.re,11.583465456965216,13.24644175066827,10.61172265214146,10.843864088043093,11.97409641967286,9.928318728425689,6.71988273980968,9.36807073848098,9.152080178329307,7.29196358647775,13.164659705417634,12.20151361513495,12.352709799466881,10.167873527760612,8.19113484333773,8.564971101988137,7.339267558395514,7.837617137041956,8.015544134782349,7.8286212339847,8.822416805353733,7.996424722980639,8.659549334711683,8.764253501986433,9.03809787974491,wildtype
YCM.re,11.959176596143994,13.81217029964033,11.386060665395375,11.375607449125745,12.56285287398399,10.163495303160953,6.475399260043457,9.294684895935644,9.240826195122153,7.891251102839676,13.200459822970016,12.727422417864469,12.44646366236295,11.436561516432121,7.681438756401515,8.61748694402524,7.227255188455781,7.720875936598356,7.548106255948533,7.296097432078383,8.554809741305686,7.368249666874711,8.487857548999001,8.083233281771637,8.293488903137733,wildtype
BAH_6.re,11.570877882880916,13.525583945196827,10.820396121147283,10.572208554089858,11.813468892488359,10.006686573983577,7.144081326803795,9.117630985556696,9.388882299977139,8.078905470006017,13.130800248662021,12.260045307523809,11.644814378254443,10.033463298695967,8.590267428931618,8.634533292118567,7.4112476918444035,7.537610760231218,7.457039191188907,8.075048998053806,8.517944168405256,7.3248290302404,8.643394521669052,8.342833313194722,8.64006426297121,wildtype
BAP_7.re,11.756681373746492,13.58031359334584,11.040154685711906,11.022096368004254,12.30317987297843,9.76906798292749,6.929144375881901,9.63277499564033,9.169602456673543,7.61428081335995,12.921123246482795,12.008116903938216,11.619304427000564,11.052292589980063,8.856457755925089,9.100625551914932,7.885948678333635,8.03710994967604,7.761709396337737,8.405298153012762,8.669980966115588,8.127586347011615,9.293670209787972,8.887324322471322,8.973918228807172,wildtype
APG_4.re,12.65792429982804,13.989221094582268,12.025315025968872,12.164388206559217,13.482038786948271,10.944584946032158,6.805386167106469,9.793185330625398,10.296056124953889,7.720932501990277,13.978471267715268,12.509807346109884,6.558548346718023,10.507651887577978,8.152685941465473,7.748465878281371,7.090471576901258,6.927215452581499,7.092151417962902,7.001391012566687,8.23136464323846,6.969524436683749,7.694621193259258,7.368163619845084,7.74421899533214,bioethanol
BVH_1.re,11.835103765280993,13.949405519816729,11.705047841401182,11.612021204133868,12.757712907720528,10.207702065442534,6.809792318846475,9.995397356716866,9.65926299162833,7.855602945539774,13.141331506905113,12.329604875568908,12.907847354289745,10.594960025261559,8.319782435261688,7.562109497794401,7.095496772606873,7.781170510025533,7.5047068998740425,7.298511529638196,8.52457310844356,6.793991148503779,7.72539080719232,7.71017386849533,7.870308609369381,bioethanol
CNE_4.re,11.763280172717966,14.0498112617668,11.487189551721954,11.353199784559486,12.680142503790794,10.320692478064343,6.763704473977203,9.724135031650471,9.711864165057719,7.8015745921736,13.092092407590789,12.621333424510036,12.630526060997122,10.155154546800503,8.184376805644384,7.3621502020488325,6.6155246637981735,7.866387973461084,7.78729468202407,7.520068773230539,8.692611754343828,6.915737270855953,8.002919393770206,7.904568223355873,8.221725641854059,bioethanol
CNI_4.re,12.28248450510954,14.220384052208304,11.745624161119228,11.855946589549381,13.17255207479622,10.57726657331439,6.560992266227452,10.216017324231302,9.782731572928759,7.5398931909598925,13.563723238803815,12.750500358952355,5.583231176209405,10.626289230266265,8.371286363098443,7.411657625320214,6.678816048002114,7.316088728639897,7.067945123671333,6.99013008136636,8.387632482767682,7.041622419661106,7.6922113461218125,7.4120320258678865,7.803252671559732,bioethanol
CNV_4.re,12.375100938219896,14.226187891519452,11.560116387446175,11.378464973336854,13.133094210677875,10.132007659079143,6.7697633715410594,10.10822845961866,9.715542729851267,7.434468158830736,13.410729630448525,12.562495164733422,12.33917654490025,10.568814157203112,7.086316898061693,7.2460713671708366,6.0862041606406665,7.347234664731791,6.998784161514454,6.897743633831831,7.912416228293382,6.931680902706084,7.791724983945622,7.355568312500836,7.783065583989424,bioethanol
BVA_4.re,11.964825316441752,13.83738403698231,11.487567658735212,11.254769184289513,12.957437281344628,10.185616285129658,6.476187237118924,9.189109002592678,9.65509905073465,7.829794209184005,12.998699775504095,12.563808303009692,5.21926796306912,10.859217906868897,7.911677599405552,7.4409270145782065,6.561486152462245,7.492178659032491,7.277489183830055,7.346541331591307,8.286652584099238,6.674448588091175,8.213773066210354,7.884818980340869,8.053495693956387,bioethanol
BVD_5.re,11.390296442560032,13.800023776941766,11.245393480503822,11.14289188948613,12.440324676096537,10.492591462015522,7.099559220095476,9.418735129707748,9.843640586091066,7.716651896671471,13.240532311170403,12.359125379835863,12.138072847193323,11.028317217977555,8.18703170786204,7.819027664047412,6.926469502750926,8.175774248264762,7.549078176136984,7.47730953348018,8.339820274154958,6.928927578935262,7.963401632507892,7.594457220510564,8.02419626085139,bioethanol
CNK_4.re,12.07836672939171,13.907890168409967,11.782041836744222,11.41868494173787,12.849686956866455,10.048804230631212,7.100261107829812,11.533014194901533,9.711852585460724,7.485435828689734,13.208161347952535,11.905762369802623,12.805219085253984,11.221445665572816,9.274415537492736,8.78264188802411,7.866393706990301,8.122220735403362,7.759136872997497,7.936988183429329,9.12078686209096,8.106947308515421,8.70514563601574,8.191713633484934,8.383268181923643,bioethanol
CMT_8.re,12.343466460851877,14.079814429313844,11.486825167972539,11.790013364413243,13.238386576689356,10.45323631660039,6.679633488540205,9.301352349744281,9.722752357700058,7.499043449002091,13.409744158255686,12.974835456380235,12.791089692517897,10.446986026007481,7.6563979935028215,6.886286039970138,6.145324303602485,6.618126160059606,6.265240620623867,6.875702236023613,7.432930274226892,6.641530707740895,7.443290172780156,7.100512331917187,7.408564210719494,bioethanol
CNB_4.re,11.620595485913478,13.032196162416716,10.492162150618284,10.447668651446898,12.309833893550099,10.000290648411575,6.857203873440615,8.705262317477537,9.454190435858607,7.852531544937007,12.97855590819891,12.474279006042984,12.472782733248957,10.172469727485467,7.321171142381558,6.956044507509023,6.088555874512149,6.907125278957737,6.597561884947721,7.330386360758899,7.307581507421493,6.198146428715172,7.612345474739419,7.435844273838325,7.765916988690647,bioethanol
CNS_4.re,12.162536831565616,13.911940841625352,11.535968537327681,11.73185363887182,13.212659266938703,10.463428801776606,6.8844427753136515,9.112293909219748,9.926963694621952,7.375538910188437,13.272679265681177,12.884110488578361,12.615554061767439,10.332288976643355,7.679749414270821,6.5811646186678345,5.957572639384523,7.69172726459928,6.781755533428511,7.141583880553192,7.5046508300878605,6.645991341210414,7.333197925514277,7.081795520723207,7.804326475369558,bioethanol
CNL_4.re,12.175352672639127,14.073366362224426,12.109030302876912,11.656530028248339,13.127582636787555,10.369015407354823,6.60070200968934,9.176609890652204,9.836741605289577,7.176004582602228,13.379260942946305,12.85622999401317,12.876820392842454,9.936877670267389,7.470995370934901,7.202892855984523,6.074850005846,6.969690715590139,6.672353209659455,7.149498837756774,7.8301385270944825,6.231913214506355,7.485819367150695,7.25131898745115,7.715482778786569,bioethanol
BVB_6.re,11.943782251216712,13.760951593677373,11.575619993899066,11.379181953842005,12.475519903897979,10.007697302709383,6.605910691209553,9.566103763662401,9.653104861408886,7.668189836942559,13.111617535662997,12.448934074197076,12.7206861538593,10.541009609500778,8.287384768404655,7.585910912687924,6.891883649668638,7.722004213011838,7.681917727795973,7.190957421092147,8.823571495280436,7.10600777514275,8.449145642750358,8.250298701233607,8.373047597576802,bioethanol
CNN_1.re,12.219617001821355,14.079227420811389,11.498319065773062,11.65858360588476,13.247629151708308,10.417950382816715,6.627250694055058,8.906542281872326,9.765924944588347,7.406807212230706,13.428712706550794,12.795984780710754,12.882892662913651,10.353310462836602,7.528353903567396,6.782558008755136,5.985129637129966,6.943085075738395,6.746437001361206,7.089190440469696,7.674830739601987,6.219621634668232,7.272974364364144,7.071781511464057,7.485034529853079,bioethanol
BVG_4.re,12.091997802125858,14.142364963066358,11.533846456539058,11.419333811679587,12.868984523882618,10.282137585132617,6.856323777530099,9.512560544649926,9.745998235104105,7.6828699132966625,13.216044042333829,12.697319127917718,12.817793328306296,10.574280976411174,8.068412838156572,7.3128248534278875,6.530626769678875,7.876829372239446,7.617776494021744,7.379661827498125,8.45796982251789,6.892885057081807,8.016672007284445,7.827868941510159,8.117721738721617,bioethanol
CNG_4.re,11.568859531144707,14.11619039458654,11.501314023060763,11.477114038204286,13.045734390624299,10.725908619497337,6.939587789362951,11.317102371579079,9.690599985486656,7.5269269881039955,13.628251877455911,12.272472342143608,12.28269660698045,11.313056009898695,8.612478724622996,7.85479359550078,7.010931376421706,7.765859896894504,7.285987850816708,7.144064001315015,8.823772647902956,7.684368681972281,8.212748819784151,7.498545403390591,7.539619240455837,bioethanol
CNH_4.re,11.393215919401497,12.895390626803565,10.25761311301442,10.118482924849296,11.56561918089819,10.009809940573394,6.6771917561451195,8.527792788389814,9.397993277434038,8.200844385652346,12.777900960251669,11.683677292508627,12.603437513656909,9.967772572168474,8.422342851857062,8.455593537367129,7.6635184852394955,7.28512842300319,7.881926068811593,8.193275526183024,8.078935742703905,7.561575128041018,8.801198511740123,8.648321960575416,8.796408305802597,bioethanol
CNR_1.re,12.316487640238066,14.112941419832179,11.847839250712195,11.78564895392941,13.368011129396509,10.456011673230272,6.833846673232419,10.787521121765955,9.857720137101687,7.611244898882512,13.385933979668177,12.708333928199362,5.517010295757079,10.774750840254589,8.352387735150264,7.80558810748501,6.785809394981732,7.171640346550138,7.611758558719549,7.411662732906956,8.824986739674978,7.3764601972286465,8.162473693466051,7.558403287550327,7.950421528132378,bioethanol
CNP_1.re,12.051806392760554,14.140101068903041,11.643717143790637,11.76442259190304,13.037003500544127,10.470759403729899,6.899862237531602,9.143369001779174,9.948234818958497,7.536433231886073,13.429524571618066,12.848061241906986,13.12894480330687,11.204416975488654,7.662969678457087,6.926478129982444,6.272924179301699,7.659261052901436,6.890137122097502,7.161048789421038,7.8885790407696845,6.874791572992246,7.821438538856749,7.28023544395259,7.981648137913778,bioethanol
BVF_5.re,12.151738104359113,13.974104521359049,11.583183667043741,11.522730958672632,13.099013817762705,10.197567135731216,6.792541740288278,9.559313876535978,9.68464510728319,7.56019884346883,13.173278996373913,12.581806050819095,12.626444323426727,10.596112003224631,7.956256660267313,6.6845510793336596,6.349526041477839,8.009284418609813,7.3948024215086985,7.127040311738534,7.991039220430386,6.662787942836464,7.633623626856035,7.513659333349929,7.825392341538927,bioethanol
CNT_4.re,11.570721600368952,13.659271740622916,11.347217359607521,10.799681657287914,12.907398970745286,10.210946581307903,6.553279596627449,10.329798916461284,9.37969531943044,7.5821507014205345,13.017632983491094,12.807958278147987,12.318171381178574,10.871364717018889,8.159246048743103,7.32215971180297,6.172962508576365,7.832489468321602,7.231005301855004,7.301469188210242,8.740039824778485,6.838725497626715,8.096198540286998,7.840329899900566,7.757186290111369,bioethanol
CNQ_1.re,12.134738671917697,13.781148112639812,11.7000587569073,11.44870012247338,12.964771443670099,10.39111328981192,6.846262343412646,10.217996559257001,9.840599458732415,7.429742519993698,13.333173437007744,12.398398793434067,12.481195817750512,10.771799994344647,8.428436906126182,8.390467030492424,7.238090543459875,7.69098519011519,7.618986223316524,7.51383214591175,8.746935741847107,7.509551455165587,8.535247969043356,7.997248442935608,8.159159664941143,bioethanol
CNM_1.re,12.237223047146916,14.15744184834124,11.830844286130267,11.986185198893992,13.150307828065044,10.777004515181149,6.995231846479305,8.996065697946793,10.154309494716548,7.72869394955213,13.52457455727673,12.889023537087336,5.313478990755254,10.912294697631223,7.689624992480993,7.677456749845924,6.398319382821478,6.949364968627446,6.868817427103684,7.064041561506913,7.740977595179507,6.869190019644863,7.794465374635303,7.469777289913716,7.8697293937632775,bioethanol
BVC_6.re,11.867739290605194,13.455696021166217,11.484433225386105,11.32717896293632,12.527911145023214,10.198444734495938,6.562609973193453,10.280093990919276,9.674101058505848,7.848604638427917,12.945185027913235,12.12770933606405,12.468780285609817,12.296514808307169,8.504225598040424,8.323628934650143,7.334338118632583,7.631957031015184,7.188083427719904,7.3139756777402765,8.356254006555597,7.595277228050725,8.602868785374564,8.263022706900891,8.22775788992218,bioethanol
CNF_4.re,11.81832582590237,13.446050343950928,10.978801311717348,10.964422236963971,12.570756445737384,10.08410807902036,6.925634261351459,8.636613552710319,9.670013524821353,7.818269766789932,13.208913886458106,12.376153601612883,12.51174891115467,10.467247384092333,7.6468160028056875,7.21153143130039,6.476415668273826,7.131338637049799,6.839528305060488,7.4231213287019555,7.63412449209625,6.379920946423689,7.577825901256624,7.4078854913073435,7.789581621852035,bioethanol
