,pvalue,qvalue,FoldChange,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),size,sig
r_0001,0.0014236174015654882,0.003424675792176954,0.7116558487971401,2.8466067120438034,2.465380536093613,561.0301212065141,9.131934419697373,-0.49074836109366465,0.49074836109366465,0.071165584879714,normal
r_0002,0.00993092464326813,0.021422216410088235,0.8411896585840022,2.0030103135616146,1.6691355977024016,100.87721512662759,6.656456543249162,-0.24949698091049477,0.24949698091049477,0.08411896585840022,normal
r_0003,0.011222346656912774,0.02199143065079695,1.2996961160603415,1.9499163201220417,1.6577465167266983,371.0828687495315,8.535597589515145,0.37817434394478333,0.37817434394478333,0.12996961160603415,normal
r_0004,0.45900917021671117,0.5603000692521054,0.7859925181685731,0.33817863791648006,0.2515793238543924,224.8468167127177,7.812798648852655,-0.3474125152946639,0.3474125152946639,0.07859925181685731,normal
r_0005,0.5451951996342863,0.6501335708993992,0.9566317720583856,0.263447976721294,0.18699740774927398,151.6427138327623,7.24453237042806,-0.06396438737050553,0.06396438737050553,0.09566317720583856,normal
r_0006,0.22116887547268907,0.31560845553810024,1.0591183368763764,0.6552759902133588,0.5008513700242563,189.08329770357082,7.562878121098101,0.08286379281157319,0.08286379281157319,0.10591183368763764,normal
r_0007,0.8138465769641643,0.8886551424714452,1.0146770350965302,0.08945745881835018,0.051266741592510316,48.59458295449816,5.60272359430979,0.021020600307476347,0.021020600307476347,0.10146770350965302,normal
r_0012,0.0074790404509978555,0.016593992229293867,0.8125292402917753,2.1261541178532255,1.7800491176179254,102.30725764473833,6.676764682821547,-0.29950836300982253,0.29950836300982253,0.08125292402917753,normal
r_0013,0.6268227000896403,0.6998100951652291,1.0314415174136786,0.20285528414799692,0.15501979685892847,61.185313928237825,5.935113504905336,0.04466202294114568,0.04466202294114568,0.10314415174136786,normal
r_0014,0.3474713295389711,0.4481957219902103,0.9633353108568697,0.45908102398523015,0.3485322931041973,35.63536120684016,5.155237642761395,-0.05389004644454017,0.05389004644454017,0.09633353108568697,normal
r_0015,0.040192370449045174,0.06925745648194477,0.8784678294433846,1.3958563794118108,1.1595334621966062,53.2015250730595,5.733395697452248,-0.18693864092726659,0.18693864092726659,0.08784678294433847,normal
r_0016,0.5527489715020276,0.6570012125852023,1.0530121027980295,0.25747205683863716,0.18243382888987492,245.18117480123493,7.937704401823319,0.07452201807906729,0.07452201807906729,0.10530121027980295,normal
r_0017,0.0015467182666491718,0.0036965189672381097,0.7557718711373103,2.810588785448923,2.4322070610488487,47.92269259196998,5.582637064782636,-0.40397727055502414,0.40397727055502414,0.07557718711373103,normal
r_0018,0.16486949773745443,0.24599091048118898,1.1908727040766542,0.7828596851052338,0.6090809400543188,249.24841059117597,7.961440494640765,0.2520192074821353,0.2520192074821353,0.11908727040766542,normal
r_0019,0.5143706213400897,0.6207283464598565,1.0314843269208138,0.2887238444272391,0.20709842147460028,76.77528416396432,6.262570041862962,0.0447219000945832,0.0447219000945832,0.10314843269208138,normal
