,pvalue,qvalue,FoldChange,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),size,sig
r_0004,0.18810554521645584,0.18895011987694466,1.8558963913247914e-08,0.7255984015713088,0.7236528282143969,0.03336930698516526,-4.905334464880123,-25.68330858736952,25.68330858736952,1.8558963913247914e-09,normal
r_0005,4.753647768109794e-62,5.310108062901205e-62,0.9977892987111652,61.3229730014117,50.0,0.03639806335625315,-4.779994499258954,-0.003192898360349509,0.003192898360349509,0.09977892987111651,normal
r_0006,4.753647763741276e-62,5.310108062901205e-62,0.9977892988609203,61.3229730018108,50.0,0.012161215631889054,-6.361568742371436,-0.0031928981438198905,0.0031928981438198905,0.09977892988609202,normal
r_0016,4.452885691777439e-61,4.8754135274763274e-61,1.0021369641777282,60.351358453323186,50.0,0.010703811793029008,-6.5457315356157135,0.003079698190143293,0.003079698190143293,0.10021369641777282,normal
r_0018,4.4528856909560676e-61,4.8754135274763274e-61,1.0021369642586073,60.35135845340329,50.0,0.015897409534506378,-5.975064490692468,0.003079698306578325,0.003079698306578325,0.10021369642586073,normal
r_0020,0.0,0.0,8.390685081071357e-08,inf,50.0,0.007380800467353106,-7.082006995794267,-23.50663615073245,23.50663615073245,8.390685081071357e-09,down
r_0025,1.8523975587374947e-150,2.106637946635383e-150,0.8961875039512108,149.7322658000316,50.0,0.015592740887260368,-6.002981642951465,-0.1581274845688984,0.1581274845688984,0.08961875039512109,normal
r_0027,4.4528856909560676e-61,4.8754135274763274e-61,1.0021369642586073,60.35135845340329,50.0,0.015897409534506378,-5.975064490692468,0.003079698306578325,0.003079698306578325,0.10021369642586073,normal
r_0029,4.4528856911402404e-61,4.8754135274763274e-61,1.0021369642643454,60.35135845338533,50.0,0.01646398521810543,-5.924542597727555,0.003079698314838967,0.003079698314838967,0.10021369642643455,normal
r_0039,1.9658980056136566e-78,2.2107431635314704e-78,0.9958048491548066,77.70643901791193,50.0,0.014730637360789335,-6.0850363359551345,-0.006065054142409464,0.006065054142409464,0.09958048491548066,normal
r_0040,1.9658980056136566e-78,2.2107431635314704e-78,0.9958048491548066,77.70643901791193,50.0,0.014730637360789335,-6.0850363359551345,-0.006065054142409464,0.006065054142409464,0.09958048491548066,normal
r_0042,1.4963394793335743e-218,1.7070139499420127e-218,11867980.260649446,217.82496986551192,50.0,0.00734983689343623,-7.088072050446647,23.500571096590043,23.500571096590043,1186798.0260649447,up
r_0061,4.4528856911402404e-61,4.8754135274763274e-61,1.0021369642643454,60.35135845338533,50.0,0.01646398521810543,-5.924542597727555,0.003079698314838967,0.003079698314838967,0.10021369642643455,normal
r_0065,1.9658980056136566e-78,2.2107431635314704e-78,0.9958048491548066,77.70643901791193,50.0,0.014730637360789335,-6.0850363359551345,-0.006065054142409464,0.006065054142409464,0.09958048491548066,normal
r_0080,9.196101986681061e-102,1.038785489491294e-101,0.807875081742425,101.03639622096004,50.0,0.008661385071657049,-6.85118653497221,-0.307795862409356,0.307795862409356,0.08078750817424249,normal
r_0091,0.006289829225834219,0.006563654390369111,2.5028307337358413,2.201361145855952,2.182854294819917,0.13615677345855667,-2.876659340254473,1.3235607249625987,1.3235607249625987,0.25028307337358413,normal
r_0096,4.4528856924921034e-61,4.8754135274763274e-61,1.0021369643402533,60.35135845325348,50.0,0.031161591415108547,-5.004087276398959,0.003079698424117461,0.003079698424117461,0.10021369643402533,normal
r_0097,4.4528856924921034e-61,4.8754135274763274e-61,1.0021369643402533,60.35135845325348,50.0,0.031161591415108547,-5.004087276398959,0.003079698424117461,0.003079698424117461,0.10021369643402533,normal
r_0104,4.424912329784251e-297,5.0897235106504844e-297,1.1588358033136888e-07,296.3540953295013,50.0,0.005344154038939549,-7.547822692267153,-23.04082050039224,23.04082050039224,1.1588358033136888e-08,down
r_0109,4.727336601557789e-248,5.428281863265816e-248,0.24025013970174397,247.32538347343336,50.0,0.03546621494348289,-4.817410819852517,-2.0573908249832185,2.0573908249832185,0.024025013970174397,down
r_0112,3.16811955134108e-214,3.6121227160958465e-214,0.2671686530342651,213.49919843834894,50.0,0.0412433142397082,-4.599695919991296,-1.9041773489204088,1.9041773489204088,0.026716865303426512,down
r_0115,4.452885695901129e-61,4.8754135274763274e-61,1.0021369641284317,60.351358452921,50.0,0.008926323282501637,-6.807718227387118,0.003079698119175037,0.003079698119175037,0.10021369641284317,normal
r_0118,4.452885695901129e-61,4.8754135274763274e-61,1.0021369641284317,60.351358452921,50.0,0.008926323282501637,-6.807718227387118,0.003079698119175037,0.003079698119175037,0.10021369641284317,normal
r_0142,1.3245586384879961e-12,1.403683588734516e-12,0.5281191233543691,11.877928810633602,11.85273077764298,0.005171642456767727,-7.595161747270801,-0.9210647121051625,0.9210647121051625,0.0528119123354369,normal
r_0143,1.3573749736809193e-84,1.5294205425330336e-84,56549303.09151077,83.86730016228502,50.0,0.035020970097946746,-4.8356371420937,25.75300590889318,25.75300590889318,5654930.309151078,up
r_0144,1.9408151740010005e-101,2.19110252472723e-101,0.7271353786255509,100.71201582099155,50.0,0.005845177095604998,-7.4185375488562935,-0.4597041036598155,0.4597041036598155,0.07271353786255509,normal
r_0148,9.30479567618496e-116,1.0525396682021582e-115,0.8690456625955754,115.03129315909202,50.0,0.3097241136823878,-1.6909443859602875,-0.20249611178387208,0.20249611178387208,0.08690456625955753,normal
r_0152,5.646890614439619e-206,6.432822773507311e-206,12.693463553995311,205.24819062487254,50.0,0.04174948274608193,-4.582097866302651,3.6660138733167575,3.6660138733167575,1.2693463553995312,up
