,AFR_5.re.xml,BVC_6.re.xml,AEG_8.re.xml,AGM_1.re.xml,CNQ_1.re.xml,AEH_3.re.xml,AFD_4.re.xml,AHC_2.re.xml,BTT_3.re.xml,APH_4.re.xml,BTV_5.re.xml,BVA_4.re.xml,CMT_8.re.xml,CNG_4.re.xml,CNK_4.re.xml,APG_4.re.xml,CNM_1.re.xml,CNP_1.re.xml,CNR_1.re.xml,BVB_6.re.xml,CNI_4.re.xml,CNH_4.re.xml,BVH_1.re.xml,CNN_1.re.xml,CNF_4.re.xml,CNB_4.re.xml,BVG_4.re.xml,CNE_4.re.xml,CNL_4.re.xml,BVD_5.re.xml,BVF_5.re.xml,CNS_4.re.xml,CNT_4.re.xml,BVE_4.re.xml,CNV_4.re.xml
growth,0.24020272259252984,0.2402027225925311,0.24020272259252884,0.24020272259253023,0.17176689479857343,0.24020272259253073,0.24020272259252984,0.2402027225925307,0.24020272259252895,0.2402027225925319,0.24020272259253128,0.24020272259253284,0.2402027225925301,0.24020272259253084,0.17168450705716926,0.1717668947985736,0.24008668130124314,0.0,0.0,0.2402027225925311,0.2402027225925292,0.24020272259253023,0.2402027225925302,0.2402027225925301,0.24020272259252978,0.0,0.17176689479857302,0.17176689479857343,0.24020272259253045,0.1717668947985733,0.17176689479857268,0.17176689479857316,0.17176689479857316,0.24020272259253309,0.0
r_0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8590029761904758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0004,0.0,0.0,0.0,0.0,7.038598827731471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.036883774559648,7.038598827731301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.038598827731459,7.03859882773112,0.0,7.0385988277311835,7.038598827731209,7.038598827731567,7.038598827731366,0.0,0.0
r_0005,0.18119282178566562,0.18119282178566656,0.18119282178566487,0.18119282178566593,0.1295694237850533,0.18119282178566629,0.18119282178566562,0.18119282178566629,0.18119282178566495,0.18119282178566717,0.1811928217856667,0.1811928217856679,0.18119282178566581,0.18119282178566637,0.12950727599928114,0.1295694237850534,0.1811052880192497,0.0,0.0,0.18119282178566656,0.18119282178566515,0.18119282178566593,0.1811928217856659,0.18119282178566581,0.1811928217856656,0.0,0.12956942378505298,0.1295694237850533,0.1811928217856661,0.12956942378505318,0.12956942378505273,0.12956942378505307,0.12956942378505307,0.18119282178566806,0.0
r_0006,0.06053962143860528,0.0605396214386056,0.06053962143860503,0.060539621438605376,0.04329136104102497,0.0605396214386055,0.06053962143860528,0.060539621438605494,0.06053962143860506,0.0605396214386058,0.06053962143860565,0.060539621438606035,0.06053962143860534,0.060539621438605536,0.043270596402631374,0.04329136104102501,0.06051037490979861,0.0,0.0,0.0605396214386056,0.06053962143860512,0.060539621438605376,0.06053962143860537,0.06053962143860534,0.060539621438605265,0.0,0.043291361041024864,0.04329136104102497,0.06053962143860543,0.043291361041024934,0.04329136104102478,0.0432913610410249,0.0432913610410249,0.0605396214386061,0.0
r_0007,0.01829316592801223,0.018293165928012327,0.018293165928012153,0.01829316592801226,0.013081285147712327,0.0182931659280123,0.01829316592801223,0.018293165928012296,0.018293165928012164,0.018293165928012386,0.01829316592801234,0.01829316592801246,0.01829316592801225,0.018293165928012306,0.01307501072830661,0.01308128514771234,0.018284328548597472,0.0,0.0,0.018293165928012327,0.01829316592801218,0.01829316592801226,0.018293165928012257,0.01829316592801225,0.018293165928012226,0.0,0.013081285147712295,0.013081285147712327,0.018293165928012278,0.013081285147712316,0.01308128514771227,0.013081285147712306,0.013081285147712306,0.01829316592801248,0.0
r_0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0014,0.00024020271565064637,0.00024020271565064762,0.00024020271565064537,0.00024020271565064675,0.00017176688983449242,0.00024020271565064727,0.00024020271565064637,0.00024020271565064724,0.00024020271565064548,0.0002402027156506484,0.0002402027156506478,0.00024020271565064938,0.00024020271565064661,0.00024020271565064737,0.00017168450209546928,0.0001717668898344926,0.00024008667436271327,0.0,0.0,0.00024020271565064762,0.00024020271565064572,0.00024020271565064675,0.00024020271565064672,0.00024020271565064661,0.00024020271565064632,0.0,0.00017176688983449201,0.00017176688983449242,0.00024020271565064697,0.00017176688983449229,0.0001717668898344917,0.00017176688983449215,0.00017176688983449215,0.00024020271565064962,0.0
r_0015,0.00024020271565064637,0.00024020271565064762,0.00024020271565064537,0.00024020271565064675,0.00017176688983449242,0.00024020271565064727,0.00024020271565064637,0.00024020271565064724,0.00024020271565064548,0.0002402027156506484,0.0002402027156506478,0.00024020271565064938,0.00024020271565064661,0.00024020271565064737,0.00017168450209546928,0.0001717668898344926,0.00024008667436271327,0.0,0.0,0.00024020271565064762,0.00024020271565064572,0.00024020271565064675,0.00024020271565064672,0.00024020271565064661,0.00024020271565064632,0.0,0.00017176688983449201,0.00017176688983449242,0.00024020271565064697,0.00017176688983449229,0.0001717668898344917,0.00017176688983449215,0.00017176688983449215,0.00024020271565064962,0.0
r_0016,0.05316882645817283,0.053168826458173106,0.053168826458172606,0.05316882645817291,0.03802056913525009,0.05316882645817302,0.05316882645817283,0.05316882645817302,0.053168826458172634,0.053168826458173286,0.05316882645817315,0.053168826458173495,0.053168826458172884,0.05316882645817305,0.03800233262453231,0.03802056913525013,0.053143140740659664,0.0,0.0,0.053168826458173106,0.05316882645817269,0.05316882645817291,0.05316882645817291,0.053168826458172884,0.053168826458172815,0.0,0.03802056913525,0.03802056913525009,0.05316882645817297,0.03802056913525006,0.038020569135249926,0.03802056913525003,0.03802056913525003,0.05316882645817355,0.0
r_0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
